release_date,movie_title,production_budget,domestic_gross,worldwide_gross,genres,start_year,runtime_minutes,averagerating,numvotes,Revenue
01-07-2016,The Legend of Tarzan,180000000.0,126643061.0,348902025.0,"Action,Adventure,Drama",2016,110.0,6.3,150154,168902025.0
23-11-2011,Hugo,180000000.0,73864507.0,180047784.0,"Adventure,Drama,Family",2011,126.0,7.5,284869,47784.0
23-11-2011,Hugo,180000000.0,73864507.0,180047784.0,Documentary,2017,80.0,7.9,11,47784.0
21-07-2017,Valerian and the City of a Thousand Planets,180000000.0,40479370.0,215098356.0,"Action,Adventure,Fantasy",2017,137.0,6.5,139792,35098356.0
06-02-2015,Jupiter Ascending,179000000.0,47482519.0,181982519.0,"Action,Adventure,Sci-Fi",2015,127.0,5.3,166327,2982519.0
27-05-2016,X-Men: Apocalypse,178000000.0,155442489.0,542537546.0,"Action,Adventure,Sci-Fi",2016,144.0,7.0,356556,364537546.0
10-08-2018,The Meg,178000000.0,145443742.0,529530715.0,"Action,Horror,Sci-Fi",2018,113.0,5.7,114042,351530715.0
06-06-2014,Edge of Tomorrow,178000000.0,100206256.0,370541256.0,"Action,Sci-Fi",2014,113.0,7.9,546284,192541256.0
08-03-2019,Captain Marvel,175000000.0,426525952.0,1123061550.0,"Action,Adventure,Sci-Fi",2019,123.0,7.0,296225,948061550.0
15-04-2016,The Jungle Book,175000000.0,364001123.0,962854547.0,Animation,2014,64.0,7.0,59,787854547.0
15-04-2016,The Jungle Book,175000000.0,364001123.0,962854547.0,"Adventure,Drama,Family",2016,106.0,7.4,240821,787854547.0
25-12-1994,The Jungle Book,27000000.0,44342956.0,44342956.0,Animation,2014,64.0,7.0,59,17342956.0
25-12-1994,The Jungle Book,27000000.0,44342956.0,44342956.0,"Adventure,Drama,Family",2016,106.0,7.4,240821,17342956.0
19-06-2015,Inside Out,175000000.0,356461711.0,854235992.0,"Crime,Drama",2011,93.0,4.6,1566,679235992.0
19-06-2015,Inside Out,175000000.0,356461711.0,854235992.0,Family,2011,59.0,7.3,15,679235992.0
